MONTH,REGION,COUNTRYOFRESIDENCE,OVERNIGHTSTAYS
01/01/2022,Eastern Switzerland,Portugal,71
01/01/2022,Eastern Switzerland,Greece,27
01/01/2022,Eastern Switzerland,Turkey,94
01/01/2022,Eastern Switzerland,Other European countries,214
01/01/2022,Eastern Switzerland,Liechtenstein,229
01/01/2022,Eastern Switzerland,Iceland,12
01/01/2022,Eastern Switzerland,Poland,445
01/01/2022,Eastern Switzerland,Hungary,194
01/01/2022,Eastern Switzerland,Belarus,38
01/01/2022,Eastern Switzerland,Bulgaria,77
01/01/2022,Eastern Switzerland,Malta,22
01/01/2022,Eastern Switzerland,Cyprus,16
01/01/2022,Eastern Switzerland,Chile,4
01/01/2022,Eastern Switzerland,United States,525
01/01/2022,Eastern Switzerland,Canada,27
01/01/2022,Eastern Switzerland,Mexico,8
01/01/2022,Eastern Switzerland,Brazil,34
01/01/2022,Eastern Switzerland,Argentina,1
01/01/2022,Eastern Switzerland,"Central America, Caribbean",0
01/01/2022,Eastern Switzerland,Other South American countries,15
01/01/2022,Eastern Switzerland,Other Central American countries,122
01/01/2022,Eastern Switzerland,Egypt,10
01/01/2022,Eastern Switzerland,Other North African countries,9
01/01/2022,Eastern Switzerland,South Africa,41
01/01/2022,Eastern Switzerland,Other African countries,58
01/01/2022,Eastern Switzerland,Bahrain,14
01/01/2022,Eastern Switzerland,Israel,71
01/01/2022,Eastern Switzerland,India,133
01/01/2022,Eastern Switzerland,Japan,10
01/01/2022,Eastern Switzerland,Other South-East Asian countries,33
01/01/2022,Eastern Switzerland,Qatar,26
01/01/2022,Eastern Switzerland,Kuwait,15
01/01/2022,Eastern Switzerland,Australia,60
01/01/2022,Eastern Switzerland,"Australia, New Zealand, Oceania",0
01/01/2022,Eastern Switzerland,China,70
01/01/2022,Eastern Switzerland,Gulf States,0
01/01/2022,Eastern Switzerland,Hong Kong,31
01/01/2022,Eastern Switzerland,Indonesia,0
01/01/2022,Eastern Switzerland,South Korea,29
01/01/2022,Eastern Switzerland,Malaysia,4
01/01/2022,Eastern Switzerland,Philippines,0
01/01/2022,Eastern Switzerland,"New Zealand, Oceania",5
01/01/2022,Eastern Switzerland,Singapore,153
01/01/2022,Eastern Switzerland,Oman,0
01/01/2022,Eastern Switzerland,Taiwan (Chinese Taipei),3
01/01/2022,Eastern Switzerland,Thailand,27
01/01/2022,Eastern Switzerland,Other West Asian countries,60
01/01/2022,Eastern Switzerland,Estonia,2
01/01/2022,Eastern Switzerland,Latvia,12
01/01/2022,Eastern Switzerland,Lithuania,3
01/01/2022,Eastern Switzerland,Saudi Arabia,429
01/01/2022,Eastern Switzerland,United Arab Emirates,69
01/01/2022,Eastern Switzerland,Serbia and Montenegro,0
01/01/2022,Eastern Switzerland,Croatia,142
01/01/2022,Eastern Switzerland,Romania,286
01/01/2022,Eastern Switzerland,Russia,1346
01/01/2022,Eastern Switzerland,Slovakia,156
01/01/2022,Eastern Switzerland,Slovenia,49
01/01/2022,Eastern Switzerland,Czechia,230
01/01/2022,Eastern Switzerland,Ukraine,119
01/01/2022,Eastern Switzerland,Serbia,47
01/01/2022,Zurich Region,Switzerland,101013
01/01/2022,Zurich Region,Baltic States,0
01/01/2022,Zurich Region,Germany,26303
01/01/2022,Zurich Region,France,4928
01/01/2022,Zurich Region,Italy,5841
01/01/2022,Zurich Region,Austria,3330
01/01/2022,Zurich Region,United Kingdom,6674
01/01/2022,Zurich Region,Irland,745
01/01/2022,Zurich Region,Netherlands,3215
01/01/2022,Zurich Region,Belgium,1296
01/01/2022,Zurich Region,Luxembourg,350
01/01/2022,Zurich Region,Denmark,719
01/01/2022,Zurich Region,Sweden,934
01/01/2022,Zurich Region,Norway,413
01/01/2022,Zurich Region,Finland,377
01/01/2022,Zurich Region,Spain,2949
01/01/2022,Zurich Region,Portugal,1001
01/01/2022,Zurich Region,Greece,1280
01/01/2022,Zurich Region,Turkey,797
01/01/2022,Zurich Region,Other European countries,832
01/01/2022,Zurich Region,Liechtenstein,158
01/01/2022,Zurich Region,Iceland,184
01/01/2022,Zurich Region,Poland,1140
01/01/2022,Zurich Region,Hungary,665
01/01/2022,Zurich Region,Belarus,26
01/01/2022,Zurich Region,Bulgaria,263
01/01/2022,Zurich Region,Malta,282
01/01/2022,Zurich Region,Cyprus,273
01/01/2022,Zurich Region,Chile,217
01/01/2022,Zurich Region,United States,15473
01/01/2022,Zurich Region,Canada,1242
01/01/2022,Zurich Region,Mexico,819
01/01/2022,Zurich Region,Brazil,6816
01/01/2022,Zurich Region,Argentina,234
01/01/2022,Zurich Region,"Central America, Caribbean",0
01/01/2022,Zurich Region,Other South American countries,878
01/01/2022,Zurich Region,Other Central American countries,807
01/01/2022,Zurich Region,Egypt,416
01/01/2022,Zurich Region,Other North African countries,221
01/01/2022,Zurich Region,South Africa,221
01/01/2022,Zurich Region,Other African countries,303
01/01/2022,Zurich Region,Bahrain,58
01/01/2022,Zurich Region,Israel,547
01/01/2022,Zurich Region,India,1555
01/01/2022,Zurich Region,Japan,305
01/01/2022,Zurich Region,Other South-East Asian countries,895
01/01/2022,Zurich Region,Qatar,1225
01/01/2022,Zurich Region,Kuwait,255
01/01/2022,Zurich Region,Australia,1232
01/01/2022,Zurich Region,"Australia, New Zealand, Oceania",0
01/01/2022,Zurich Region,China,1167
01/01/2022,Zurich Region,Gulf States,0
01/01/2022,Zurich Region,Hong Kong,287
01/01/2022,Zurich Region,Indonesia,860
01/01/2022,Zurich Region,South Korea,279
01/01/2022,Zurich Region,Malaysia,734
01/01/2022,Zurich Region,Philippines,203
01/01/2022,Zurich Region,"New Zealand, Oceania",201
01/01/2022,Zurich Region,Singapore,3184
01/01/2022,Zurich Region,Oman,341
01/01/2022,Zurich Region,Taiwan (Chinese Taipei),69
01/01/2022,Zurich Region,Thailand,1649
01/01/2022,Zurich Region,Other West Asian countries,835
01/01/2022,Zurich Region,Estonia,202
01/01/2022,Zurich Region,Latvia,235
01/01/2022,Zurich Region,Lithuania,341
01/01/2022,Zurich Region,Saudi Arabia,792
01/01/2022,Zurich Region,United Arab Emirates,2980
01/01/2022,Zurich Region,Serbia and Montenegro,0
01/01/2022,Zurich Region,Croatia,719
01/01/2022,Zurich Region,Romania,1312
01/01/2022,Zurich Region,Russia,1878
01/01/2022,Zurich Region,Slovakia,377
01/01/2022,Zurich Region,Slovenia,316
01/01/2022,Zurich Region,Czechia,599
01/01/2022,Zurich Region,Ukraine,1285
01/01/2022,Zurich Region,Serbia,481
01/01/2022,Lucerne / Lake Lucerne,Switzerland,109738
01/01/2022,Lucerne / Lake Lucerne,Baltic States,0
01/01/2022,Lucerne / Lake Lucerne,Germany,14897
01/01/2022,Lucerne / Lake Lucerne,France,2220
01/01/2022,Lucerne / Lake Lucerne,Italy,1926
01/01/2022,Lucerne / Lake Lucerne,Austria,1239
01/01/2022,Lucerne / Lake Lucerne,United Kingdom,3020
01/01/2022,Lucerne / Lake Lucerne,Irland,231
01/01/2022,Lucerne / Lake Lucerne,Netherlands,3364
01/01/2022,Lucerne / Lake Lucerne,Belgium,1286
01/01/2022,Lucerne / Lake Lucerne,Luxembourg,439
01/01/2022,Lucerne / Lake Lucerne,Denmark,808
01/01/2022,Lucerne / Lake Lucerne,Sweden,1560
01/01/2022,Lucerne / Lake Lucerne,Norway,326
01/01/2022,Lucerne / Lake Lucerne,Finland,281
01/01/2022,Lucerne / Lake Lucerne,Spain,523
01/01/2022,Lucerne / Lake Lucerne,Portugal,303
01/01/2022,Lucerne / Lake Lucerne,Greece,266
01/01/2022,Lucerne / Lake Lucerne,Turkey,190
01/01/2022,Lucerne / Lake Lucerne,Other European countries,318
01/01/2022,Lucerne / Lake Lucerne,Liechtenstein,102
01/01/2022,Lucerne / Lake Lucerne,Iceland,139
01/01/2022,Lucerne / Lake Lucerne,Poland,455
01/01/2022,Lucerne / Lake Lucerne,Hungary,329
01/01/2022,Lucerne / Lake Lucerne,Belarus,4
01/01/2022,Lucerne / Lake Lucerne,Bulgaria,86
01/01/2022,Lucerne / Lake Lucerne,Malta,38
01/01/2022,Lucerne / Lake Lucerne,Cyprus,65
01/01/2022,Lucerne / Lake Lucerne,Chile,72
01/01/2022,Lucerne / Lake Lucerne,United States,3295
01/01/2022,Lucerne / Lake Lucerne,Canada,191
01/01/2022,Lucerne / Lake Lucerne,Mexico,176
01/01/2022,Lucerne / Lake Lucerne,Brazil,1440
01/01/2022,Lucerne / Lake Lucerne,Argentina,33
01/01/2022,Lucerne / Lake Lucerne,"Central America, Caribbean",0
01/01/2022,Lucerne / Lake Lucerne,Other South American countries,177
01/01/2022,Lucerne / Lake Lucerne,Other Central American countries,158
01/01/2022,Lucerne / Lake Lucerne,Egypt,147
01/01/2022,Lucerne / Lake Lucerne,Other North African countries,26
01/01/2022,Lucerne / Lake Lucerne,South Africa,52
01/01/2022,Lucerne / Lake Lucerne,Other African countries,73
01/01/2022,Lucerne / Lake Lucerne,Bahrain,5
01/01/2022,Lucerne / Lake Lucerne,Israel,108
01/01/2022,Lucerne / Lake Lucerne,India,319
01/01/2022,Lucerne / Lake Lucerne,Japan,23
01/01/2022,Lucerne / Lake Lucerne,Other South-East Asian countries,200
01/01/2022,Lucerne / Lake Lucerne,Qatar,404
01/01/2022,Lucerne / Lake Lucerne,Kuwait,49
01/01/2022,Lucerne / Lake Lucerne,Australia,261
01/01/2022,Lucerne / Lake Lucerne,"Australia, New Zealand, Oceania",0
01/01/2022,Lucerne / Lake Lucerne,China,163
01/01/2022,Lucerne / Lake Lucerne,Gulf States,0
01/01/2022,Lucerne / Lake Lucerne,Hong Kong,52
01/01/2022,Lucerne / Lake Lucerne,Indonesia,240
01/01/2022,Lucerne / Lake Lucerne,South Korea,164
01/01/2022,Lucerne / Lake Lucerne,Malaysia,169
01/01/2022,Lucerne / Lake Lucerne,Philippines,52
01/01/2022,Lucerne / Lake Lucerne,"New Zealand, Oceania",36
01/01/2022,Lucerne / Lake Lucerne,Singapore,945
01/01/2022,Lucerne / Lake Lucerne,Oman,43
01/01/2022,Lucerne / Lake Lucerne,Taiwan (Chinese Taipei),24
01/01/2022,Lucerne / Lake Lucerne,Thailand,361
01/01/2022,Lucerne / Lake Lucerne,Other West Asian countries,90
01/01/2022,Lucerne / Lake Lucerne,Estonia,209
01/01/2022,Lucerne / Lake Lucerne,Latvia,52
01/01/2022,Lucerne / Lake Lucerne,Lithuania,105
01/01/2022,Lucerne / Lake Lucerne,Saudi Arabia,405
01/01/2022,Lucerne / Lake Lucerne,United Arab Emirates,591
01/01/2022,Lucerne / Lake Lucerne,Serbia and Montenegro,0
01/01/2022,Lucerne / Lake Lucerne,Croatia,107
01/01/2022,Lucerne / Lake Lucerne,Romania,391
01/01/2022,Lucerne / Lake Lucerne,Russia,872
01/01/2022,Lucerne / Lake Lucerne,Slovakia,69
01/01/2022,Lucerne / Lake Lucerne,Slovenia,59
01/01/2022,Lucerne / Lake Lucerne,Czechia,208
01/01/2022,Lucerne / Lake Lucerne,Ukraine,527
01/01/2022,Lucerne / Lake Lucerne,Serbia,51
01/01/2022,Basel Region,Switzerland,27984
01/01/2022,Basel Region,Baltic States,0
01/01/2022,Basel Region,Germany,7151
01/01/2022,Basel Region,France,2032
01/01/2022,Basel Region,Italy,1356
01/01/2022,Basel Region,Austria,603
01/01/2022,Basel Region,United Kingdom,1082
01/01/2022,Basel Region,Irland,182
01/01/2022,Basel Region,Netherlands,1597
01/01/2022,Basel Region,Belgium,660
01/01/2022,Basel Region,Luxembourg,126
01/01/2022,Basel Region,Denmark,91
01/01/2022,Basel Region,Sweden,91
01/01/2022,Basel Region,Norway,30
01/01/2022,Basel Region,Finland,31
01/01/2022,Basel Region,Spain,672
01/01/2022,Basel Region,Portugal,192
01/01/2022,Basel Region,Greece,126
01/01/2022,Basel Region,Turkey,363
01/01/2022,Basel Region,Other European countries,111
01/01/2022,Basel Region,Liechtenstein,100
01/01/2022,Basel Region,Iceland,3
01/01/2022,Basel Region,Poland,471
01/01/2022,Basel Region,Hungary,159
01/01/2022,Basel Region,Belarus,0
01/01/2022,Basel Region,Bulgaria,179
01/01/2022,Basel Region,Malta,0
01/01/2022,Basel Region,Cyprus,21
01/01/2022,Basel Region,Chile,22
01/01/2022,Basel Region,United States,1291
01/01/2022,Basel Region,Canada,51
01/01/2022,Basel Region,Mexico,82
01/01/2022,Basel Region,Brazil,275
01/01/2022,Basel Region,Argentina,43
01/01/2022,Basel Region,"Central America, Caribbean",0
01/01/2022,Basel Region,Other South American countries,40
01/01/2022,Basel Region,Other Central American countries,37
01/01/2022,Basel Region,Egypt,12
01/01/2022,Basel Region,Other North African countries,12
01/01/2022,Basel Region,South Africa,28
01/01/2022,Basel Region,Other African countries,151
01/01/2022,Basel Region,Bahrain,0
01/01/2022,Basel Region,Israel,50
01/01/2022,Basel Region,India,233
01/01/2022,Basel Region,Japan,31
01/01/2022,Basel Region,Other South-East Asian countries,34
01/01/2022,Basel Region,Qatar,43
01/01/2022,Basel Region,Kuwait,38
01/01/2022,Basel Region,Australia,26
01/01/2022,Basel Region,"Australia, New Zealand, Oceania",0
01/01/2022,Basel Region,China,106
01/01/2022,Basel Region,Gulf States,0
01/01/2022,Basel Region,Hong Kong,27
01/01/2022,Basel Region,Indonesia,20
01/01/2022,Basel Region,South Korea,23
01/01/2022,Basel Region,Malaysia,27
01/01/2022,Basel Region,Philippines,27
01/01/2022,Basel Region,"New Zealand, Oceania",5
01/01/2022,Basel Region,Singapore,97
01/01/2022,Basel Region,Oman,90
01/01/2022,Basel Region,Taiwan (Chinese Taipei),9
01/01/2022,Basel Region,Thailand,65
01/01/2022,Basel Region,Other West Asian countries,34
01/01/2022,Basel Region,Estonia,8
01/01/2022,Basel Region,Latvia,17
01/01/2022,Basel Region,Lithuania,45
01/01/2022,Basel Region,Saudi Arabia,119
01/01/2022,Basel Region,United Arab Emirates,116
01/01/2022,Basel Region,Serbia and Montenegro,0
01/01/2022,Basel Region,Croatia,48
01/01/2022,Basel Region,Romania,388
01/01/2022,Basel Region,Russia,306
01/01/2022,Basel Region,Slovakia,102
01/01/2022,Basel Region,Slovenia,55
01/01/2022,Basel Region,Czechia,112
01/01/2022,Basel Region,Ukraine,96
01/01/2022,Basel Region,Serbia,30
01/01/2022,Bern Region,Switzerland,201345
01/01/2022,Bern Region,Baltic States,0
01/01/2022,Bern Region,Germany,24560
01/01/2022,Bern Region,France,6329
01/01/2022,Bern Region,Italy,2724
01/01/2022,Bern Region,Austria,1409
01/01/2022,Bern Region,United Kingdom,12911
01/01/2022,Bern Region,Irland,641
01/01/2022,Bern Region,Netherlands,13033
01/01/2022,Bern Region,Belgium,3635
01/01/2022,Bern Region,Luxembourg,1083
01/01/2022,Bern Region,Denmark,602
01/01/2022,Bern Region,Sweden,630
01/01/2022,Bern Region,Norway,401
01/01/2022,Bern Region,Finland,220
01/01/2022,Bern Region,Spain,1388
01/01/2022,Bern Region,Portugal,384
01/01/2022,Bern Region,Greece,508
01/01/2022,Bern Region,Turkey,276
01/01/2022,Bern Region,Other European countries,819
01/01/2022,Bern Region,Liechtenstein,335
01/01/2022,Bern Region,Iceland,8
01/01/2022,Bern Region,Poland,937
01/01/2022,Bern Region,Hungary,213
01/01/2022,Bern Region,Belarus,8
01/01/2022,Bern Region,Bulgaria,124
01/01/2022,Bern Region,Malta,72
01/01/2022,Bern Region,Cyprus,195
01/01/2022,Bern Region,Chile,97
01/01/2022,Bern Region,United States,6180
01/01/2022,Bern Region,Canada,590
01/01/2022,Bern Region,Mexico,357
01/01/2022,Bern Region,Brazil,3149
01/01/2022,Bern Region,Argentina,108
01/01/2022,Bern Region,"Central America, Caribbean",0
01/01/2022,Bern Region,Other South American countries,371
01/01/2022,Bern Region,Other Central American countries,263
01/01/2022,Bern Region,Egypt,63
01/01/2022,Bern Region,Other North African countries,206
01/01/2022,Bern Region,South Africa,155
01/01/2022,Bern Region,Other African countries,329
01/01/2022,Bern Region,Bahrain,39
01/01/2022,Bern Region,Israel,287
01/01/2022,Bern Region,India,628
01/01/2022,Bern Region,Japan,199
01/01/2022,Bern Region,Other South-East Asian countries,178
01/01/2022,Bern Region,Qatar,273
01/01/2022,Bern Region,Kuwait,149
01/01/2022,Bern Region,Australia,478
01/01/2022,Bern Region,"Australia, New Zealand, Oceania",0
01/01/2022,Bern Region,China,398
01/01/2022,Bern Region,Gulf States,0
01/01/2022,Bern Region,Hong Kong,90
01/01/2022,Bern Region,Indonesia,446
01/01/2022,Bern Region,South Korea,419
01/01/2022,Bern Region,Malaysia,465
01/01/2022,Bern Region,Philippines,26
01/01/2022,Bern Region,"New Zealand, Oceania",63
01/01/2022,Bern Region,Singapore,1549
01/01/2022,Bern Region,Oman,40
01/01/2022,Bern Region,Taiwan (Chinese Taipei),26
01/01/2022,Bern Region,Thailand,988
01/01/2022,Bern Region,Other West Asian countries,172
01/01/2022,Bern Region,Estonia,80
01/01/2022,Bern Region,Latvia,70
01/01/2022,Bern Region,Lithuania,95
01/01/2022,Bern Region,Saudi Arabia,1440
01/01/2022,Bern Region,United Arab Emirates,1198
01/01/2022,Bern Region,Serbia and Montenegro,0
01/01/2022,Bern Region,Croatia,84
01/01/2022,Bern Region,Romania,407
01/01/2022,Bern Region,Russia,1174
01/01/2022,Bern Region,Slovakia,203
01/01/2022,Bern Region,Slovenia,187
01/01/2022,Bern Region,Czechia,387
01/01/2022,Bern Region,Ukraine,456
01/01/2022,Bern Region,Serbia,55
01/01/2022,Jura & Three-Lakes,Switzerland,14402
01/01/2022,Jura & Three-Lakes,Baltic States,0
01/01/2022,Jura & Three-Lakes,Germany,1322
01/01/2022,Jura & Three-Lakes,France,2006
01/01/2022,Jura & Three-Lakes,Italy,1283
01/01/2022,Jura & Three-Lakes,Austria,140
01/01/2022,Jura & Three-Lakes,United Kingdom,66
01/01/2022,Jura & Three-Lakes,Irland,39
01/01/2022,Jura & Three-Lakes,Netherlands,186
01/01/2022,Jura & Three-Lakes,Belgium,162
01/01/2022,Jura & Three-Lakes,Luxembourg,14
01/01/2022,Jura & Three-Lakes,Denmark,19
01/01/2022,Jura & Three-Lakes,Sweden,13
01/01/2022,Jura & Three-Lakes,Norway,25
01/01/2022,Jura & Three-Lakes,Finland,7
01/01/2022,Jura & Three-Lakes,Spain,123
01/01/2022,Jura & Three-Lakes,Portugal,31
01/01/2022,Jura & Three-Lakes,Greece,5
01/01/2022,Jura & Three-Lakes,Turkey,11
01/01/2022,Jura & Three-Lakes,Other European countries,125
01/01/2022,Jura & Three-Lakes,Liechtenstein,12
01/01/2022,Jura & Three-Lakes,Iceland,1
01/01/2022,Jura & Three-Lakes,Poland,100
01/01/2022,Jura & Three-Lakes,Hungary,42
01/01/2022,Jura & Three-Lakes,Belarus,0
01/01/2022,Jura & Three-Lakes,Bulgaria,56
01/01/2022,Jura & Three-Lakes,Malta,0
01/01/2022,Jura & Three-Lakes,Cyprus,4
01/01/2022,Jura & Three-Lakes,Chile,2
01/01/2022,Jura & Three-Lakes,United States,169
01/01/2022,Jura & Three-Lakes,Canada,51
01/01/2022,Jura & Three-Lakes,Mexico,54
01/01/2022,Jura & Three-Lakes,Brazil,39
01/01/2022,Jura & Three-Lakes,Argentina,0
01/01/2022,Jura & Three-Lakes,"Central America, Caribbean",0
01/01/2022,Jura & Three-Lakes,Other South American countries,6
01/01/2022,Jura & Three-Lakes,Other Central American countries,4
01/01/2022,Jura & Three-Lakes,Egypt,0
01/01/2022,Jura & Three-Lakes,Other North African countries,72
01/01/2022,Jura & Three-Lakes,South Africa,0
01/01/2022,Jura & Three-Lakes,Other African countries,31
01/01/2022,Jura & Three-Lakes,Bahrain,0
01/01/2022,Jura & Three-Lakes,Israel,7
01/01/2022,Jura & Three-Lakes,India,23
01/01/2022,Jura & Three-Lakes,Japan,9
01/01/2022,Jura & Three-Lakes,Other South-East Asian countries,3
01/01/2022,Jura & Three-Lakes,Qatar,0
01/01/2022,Jura & Three-Lakes,Kuwait,0
01/01/2022,Jura & Three-Lakes,Australia,6
01/01/2022,Jura & Three-Lakes,"Australia, New Zealand, Oceania",0
01/01/2022,Jura & Three-Lakes,China,4
01/01/2022,Jura & Three-Lakes,Gulf States,0
01/01/2022,Jura & Three-Lakes,Hong Kong,18
01/01/2022,Jura & Three-Lakes,Indonesia,0
01/01/2022,Jura & Three-Lakes,South Korea,33
01/01/2022,Jura & Three-Lakes,Malaysia,0
01/01/2022,Jura & Three-Lakes,Philippines,0
01/01/2022,Jura & Three-Lakes,"New Zealand, Oceania",0
01/01/2022,Jura & Three-Lakes,Singapore,15
01/01/2022,Jura & Three-Lakes,Oman,0
01/01/2022,Jura & Three-Lakes,Taiwan (Chinese Taipei),0
01/01/2022,Jura & Three-Lakes,Thailand,0
01/01/2022,Jura & Three-Lakes,Other West Asian countries,8
01/01/2022,Jura & Three-Lakes,Estonia,1
01/01/2022,Jura & Three-Lakes,Latvia,0
01/01/2022,Jura & Three-Lakes,Lithuania,1
01/01/2022,Jura & Three-Lakes,Saudi Arabia,0
01/01/2022,Jura & Three-Lakes,United Arab Emirates,0
01/01/2022,Jura & Three-Lakes,Serbia and Montenegro,0
01/01/2022,Jura & Three-Lakes,Croatia,10
01/01/2022,Jura & Three-Lakes,Romania,58
01/01/2022,Jura & Three-Lakes,Russia,39
01/01/2022,Jura & Three-Lakes,Slovakia,36
01/01/2022,Jura & Three-Lakes,Slovenia,2
01/01/2022,Jura & Three-Lakes,Czechia,24
01/01/2022,Jura & Three-Lakes,Ukraine,21
01/01/2022,Jura & Three-Lakes,Serbia,6
01/01/2022,Vaud,Switzerland,81985
01/01/2022,Vaud,Baltic States,0
01/01/2022,Vaud,Germany,3243
01/01/2022,Vaud,France,10776
01/01/2022,Vaud,Italy,2791
01/01/2022,Vaud,Austria,268
01/01/2022,Vaud,United Kingdom,2940
01/01/2022,Vaud,Irland,115
01/01/2022,Vaud,Netherlands,1166
01/01/2022,Vaud,Belgium,4063
01/01/2022,Vaud,Luxembourg,206
01/01/2022,Vaud,Denmark,158
01/01/2022,Vaud,Sweden,220
01/01/2022,Vaud,Norway,134
01/01/2022,Vaud,Finland,64
01/01/2022,Vaud,Spain,883
01/01/2022,Vaud,Portugal,843
01/01/2022,Vaud,Greece,353
01/01/2022,Vaud,Turkey,187
01/01/2022,Vaud,Other European countries,982
01/01/2022,Vaud,Liechtenstein,33
01/01/2022,Vaud,Iceland,14
01/01/2022,Vaud,Poland,198
01/01/2022,Vaud,Hungary,58
01/01/2022,Vaud,Belarus,22
01/01/2022,Vaud,Bulgaria,39
01/01/2022,Vaud,Malta,14
01/01/2022,Vaud,Cyprus,82
01/01/2022,Vaud,Chile,18
01/01/2022,Vaud,United States,2104
01/01/2022,Vaud,Canada,326
01/01/2022,Vaud,Mexico,225
01/01/2022,Vaud,Brazil,1112
01/01/2022,Vaud,Argentina,91
01/01/2022,Vaud,"Central America, Caribbean",0
01/01/2022,Vaud,Other South American countries,134
01/01/2022,Vaud,Other Central American countries,90
01/01/2022,Vaud,Egypt,98
01/01/2022,Vaud,Other North African countries,202
01/01/2022,Vaud,South Africa,624
01/01/2022,Vaud,Other African countries,359
01/01/2022,Vaud,Bahrain,21
01/01/2022,Vaud,Israel,55
01/01/2022,Vaud,India,304
01/01/2022,Vaud,Japan,71
01/01/2022,Vaud,Other South-East Asian countries,148
01/01/2022,Vaud,Qatar,302
01/01/2022,Vaud,Kuwait,114
01/01/2022,Vaud,Australia,236
01/01/2022,Vaud,"Australia, New Zealand, Oceania",0
01/01/2022,Vaud,China,449
01/01/2022,Vaud,Gulf States,0
01/01/2022,Vaud,Hong Kong,12
01/01/2022,Vaud,Indonesia,88
